Created Due : Mon Aug  1 15:39:25 2022

Time,actual_pos,actual_vel,actual_tor
1659335973322175188,-4128,0,36,
1659335973323149615,-4128,0,-3,
1659335973324151093,-4128,0,43,
1659335973325172375,-4128,0,-5,
1659335973326185308,-4128,0,-3,
1659335973327174220,-4128,0,-7,
1659335973328174772,-4128,0,18,
1659335973329175814,-4129,-37,5,
1659335973330174566,-4130,0,29,
1659335973331174976,-4130,0,7,
1659335973332176996,-4129,0,-5,
1659335973333170422,-4128,37,5,
1659335973334178834,-4128,0,16,
1659335973335173678,-4128,0,-7,
1659335973336176934,-4128,0,21,
1659335973337172065,-4129,-37,-3,
1659335973338189756,-4129,0,12,
1659335973339588606,-4128,37,14,
1659335973340243106,-4128,0,9,
1659335973341188886,-4127,0,-24,
1659335973342176783,-4127,0,33,
1659335973343170550,-4127,0,3,
1659335973344173885,-4128,0,12,
1659335973345171635,-4128,0,-10,
1659335973346172442,-4128,0,36,
1659335973347168713,-4128,0,14,
1659335973348152375,-4128,0,-8,
1659335973349157296,-4127,37,-7,
1659335973350157263,-4127,0,-7,
1659335973351150878,-4127,0,28,
1659335973352150770,-4128,0,17,
1659335973353150153,-4128,0,3,
1659335973354154261,-4128,0,-24,
1659335973355171774,-4129,-37,12,
1659335973356164032,-4129,0,-9,
1659335973357155185,-4128,37,28,
1659335973358157387,-4128,0,-7,
1659335973359167754,-4128,0,-2,
1659335973360159559,-4128,0,-3,
1659335973361188333,-4128,0,-5,
1659335973364554271,-4127,0,-7,
1659335973365178246,-4127,0,12,
1659335973366178598,-4128,0,16,
1659335973367173249,-4129,0,-2,
1659335973368181028,-4129,0,-18,
1659335973369547388,-4129,0,-5,
1659335973370185226,-4128,0,11,
1659335973371160253,-4128,0,45,
1659335973372164806,-4129,-37,-26,
1659335973373161895,-4129,0,-5,
1659335973374157123,-4130,0,0,
1659335973375154146,-4130,0,13,
1659335973376152773,-4128,37,3,
1659335973377155755,-4128,0,24,
1659335973378155868,-4127,37,36,
1659335973379152128,-4127,0,36,
1659335973380159914,-4127,0,28,
1659335973381155430,-4128,0,14,
1659335973382153831,-4129,0,12,
1659335973383152546,-4129,0,13,
1659335973384160184,-4128,0,-24,
1659335973385152830,-4127,0,-12,
1659335973386155902,-4127,0,16,
1659335973387179668,-4128,-37,-5,
1659335973388177041,-4128,0,-14,
1659335973389173678,-4128,0,13,
1659335973390181093,-4128,0,-28,
1659335973391174811,-4128,0,19,
1659335973392180266,-4128,0,-17,
1659335973393185111,-4128,0,-17,
1659335973394175831,-4128,0,-26,
1659335973395174617,-4129,0,14,
1659335973396172530,-4129,0,35,
1659335973397176069,-4129,0,-5,
1659335973398183724,-4127,37,7,
1659335973399562324,-4127,0,-24,
1659335973400186594,-4127,0,-10,
1659335973401200269,-4128,0,24,
1659335973402167269,-4128,0,-24,
1659335973403189418,-4129,0,28,
1659335973404177031,-4129,0,-12,
1659335973405170930,-4128,37,-9,
1659335973406179128,-4128,0,-5,
1659335973407177265,-4128,0,9,
1659335973408170439,-4128,0,21,
1659335973409168899,-4128,0,9,
1659335973410169200,-4128,0,14,
1659335973411148800,-4128,0,14,
1659335973412150475,-4128,0,5,
1659335973413153115,-4128,0,38,
1659335973414151814,-4129,0,14,
1659335973415148352,-4129,0,-12,
1659335973416160493,-4129,0,7,
1659335973417150618,-4129,0,-9,
1659335973418191563,-4129,0,-5,
1659335973419148309,-4129,0,-3,
1659335973420185069,-4129,0,3,
1659335973421170933,-4128,0,0,
1659335973422174848,-4128,0,3,
1659335973423173782,-4128,0,-5,
1659335973424171868,-4128,0,-22,
1659335973425170013,-4128,0,-5,
1659335973426173842,-4128,0,-9,
1659335973427177026,-4128,0,7,
1659335973428177592,-4127,0,-7,
1659335973429178532,-4127,0,7,
1659335973430180993,-4128,-37,16,
1659335973431661330,-4128,0,12,
1659335973432174166,-4128,0,-14,
1659335973433158727,-4128,0,-10,
1659335973434163219,-4128,0,33,
1659335973435160896,-4128,0,-17,
1659335973436159272,-4128,0,-17,
1659335973437154578,-4128,0,-7,
1659335973438159607,-4128,0,-22,
1659335973439155188,-4128,0,36,
1659335973440152328,-4128,0,5,
1659335973441155585,-4128,0,0,
1659335973442153700,-4128,0,45,
1659335973443152415,-4128,0,5,
1659335973444153772,-4128,0,14,
1659335973445164049,-4128,0,-17,
1659335973446158444,-4128,0,-14,
1659335973447158928,-4128,0,-19,
1659335973448177366,-4128,0,-14,
1659335973449168404,-4128,0,14,
1659335973450178518,-4128,0,-17,
1659335973451175209,-4128,0,-12,
1659335973452180585,-4127,37,-9,
1659335973453185246,-4127,0,-24,
1659335973454177339,-4127,0,-19,
1659335973455176833,-4127,0,-9,
1659335973456169107,-4127,0,2,
1659335973457178391,-4127,0,-7,
1659335973458184082,-4127,0,-17,
1659335973459179756,-4127,0,-12,
1659335973460174038,-4129,0,60,
1659335973464871321,-4129,0,-3,
1659335973465020515,-4129,0,-5,
1659335973465199154,-4129,0,-5,
1659335973465362068,-4129,0,-5,
1659335973465532009,-4129,0,-5,
1659335973466189634,-4127,37,14,
1659335973467192250,-4127,0,18,
1659335973468202034,-4127,0,-31,
1659335973469189082,-4127,0,18,
1659335973470169289,-4127,0,33,
1659335973471176517,-4128,0,43,
1659335973472175236,-4128,0,7,
1659335973473175523,-4128,0,-7,
1659335973474176924,-4128,0,-5,
1659335973475174455,-4128,0,-5,
1659335973476173847,-4128,0,0,
1659335973477150525,-4128,0,16,
1659335973478157509,-4128,0,7,
1659335973479152509,-4128,0,-5,
1659335973480155441,-4128,0,26,
1659335973481159708,-4128,0,-22,
1659335973482157025,-4127,0,-43,
1659335973483176747,-4127,0,-17,
1659335973484149928,-4127,0,5,
1659335973485152477,-4128,0,19,
1659335973486180233,-4128,0,40,
1659335973487178094,-4128,0,16,
1659335973488176611,-4128,0,11,
1659335973489174778,-4127,37,-3,
1659335973490180005,-4127,0,-9,
1659335973491778905,-4127,0,-3,
1659335973492156985,-4127,0,-5,
1659335973493170748,-4127,0,24,
1659335973494172105,-4127,0,-9,
1659335973495151575,-4128,0,6,
1659335973496163568,-4128,0,-33,
1659335973497155863,-4128,0,-19,
1659335973498152957,-4128,0,3,
1659335973499150977,-4128,0,-12,
1659335973500153090,-4128,0,12,
1659335973501165032,-4128,0,-28,
1659335973502197994,-4128,0,-7,
1659335973503170578,-4129,-37,-7,
1659335973504178858,-4129,0,28,
1659335973505168975,-4129,0,-1,
1659335973506168367,-4127,37,-12,
1659335973507171931,-4127,0,-26,
1659335973508170649,-4127,0,-7,
1659335973509167239,-4128,-37,-7,
1659335973510170598,-4129,0,21,
1659335973511166321,-4129,0,7,
1659335973512172407,-4129,0,12,
1659335973513166578,-4128,37,18,
1659335973514192300,-4128,0,5,
1659335973515170335,-4128,0,5,
1659335973516175439,-4128,0,-19,
1659335973517176853,-4128,0,19,
1659335973518172761,-4129,0,24,
1659335973519168005,-4129,0,26,
1659335973520177158,-4129,0,3,
1659335973521170960,-4129,0,14,
1659335973522165863,-4129,37,5,
1659335973523862259,-4127,37,12,
1659335973524170226,-4127,0,5,
